 Телефон Xiaomi 15T 12GB/256GB международная версия (черный) : https://catalog.onliner.by/mobile/xiaomi/xi15t12256bk
 Телефон Infinix Note 50 X6858 8GB/256GB (сумрачный черный) : https://catalog.onliner.by/mobile/infinix/note508256sb
 Телефон Realme 15 Pro 5G RMX5101 8GB/256GB международная версия (серебристый) : https://catalog.onliner.by/mobile/realme/rlm15pro12256gsl
 Телефон Infinix Hot 60 Pro X6885 8GB/256GB (серебристый) : https://catalog.onliner.by/mobile/infinix/x68858256sl
 Телефон Realme 15T RMX5111 12GB/256GB международная версия (белый) : https://catalog.onliner.by/mobile/realme/rlm15t12256gwh
 Телефон Apple iPhone 17 256GB (черный) : https://catalog.onliner.by/mobile/apple/iphone17256bk
